period,ratio,1
2017-04-27,30.40042,23.0
2017-04-28,27.44994,15.0
2017-04-29,33.58798,22.0
2017-04-30,38.303470000000004,12.0
2017-05-01,39.69968,12.0
2017-05-02,41.72813,4.0
2017-05-03,100.0,8.0
2017-05-04,79.39936,4.0
2017-05-05,67.70284000000001,9.0
2017-05-06,56.454159999999995,8.0
2017-05-07,49.28872,2.0
2017-05-08,45.36354,1.0
2017-05-09,55.71654,2.0
2017-05-10,27.68703,1.0
2017-05-11,26.26448,1.0
2017-05-12,31.506840000000004,
2017-05-13,42.834559999999996,1.0
2017-05-14,40.56902,
2017-05-15,34.11485,1.0
2017-05-16,10.010530000000001,2.0
2017-05-17,16.09589,2.0
2017-05-18,18.57218,5.0
2017-05-19,21.206529999999997,2.0
2017-05-20,26.13277,1.0
2017-05-21,21.601679999999998,
2017-05-22,11.11696,
2017-05-23,8.245519999999999,
2017-05-24,9.37829,1.0
2017-05-25,8.45626,2.0
2017-05-26,8.983139999999999,
2017-05-27,14.383560000000001,
