period,ratio,1
2017-02-01,83.82113000000001,58
2017-02-02,84.87804,34
2017-02-03,69.69511999999999,16
2017-02-04,73.59756,20
2017-02-05,100.0,36
2017-02-06,55.1626,19
2017-02-07,45.8943,12
2017-02-08,33.88211,18
2017-02-09,24.695120000000003,7
2017-02-10,21.483729999999998,5
2017-02-11,43.33333,6
2017-02-12,25.5691,10
2017-02-13,17.6626,5
2017-02-14,13.67886,1
2017-02-15,11.48373,3
2017-02-16,9.43089,3
2017-02-17,9.207310000000001,2
2017-02-18,9.634139999999999,2
2017-02-19,8.80081,6
2017-02-20,7.17479,4
2017-02-21,8.841460000000001,1
2017-02-22,9.329260000000001,5
2017-02-23,6.7073100000000005,5
2017-02-24,7.64227,1
2017-02-25,8.35365,3
2017-02-26,9.451210000000001,6
2017-02-27,8.51626,2
2017-02-28,7.5,3
2017-03-01,7.3780399999999995,2
