period,ratio,1
2018-02-28,100.0,1368
2018-03-01,27.76401,1486
2018-03-02,15.56674,798
2018-03-03,14.064770000000001,766
2018-03-04,11.673580000000001,810
2018-03-05,6.8335,440
2018-03-06,5.29495,188
2018-03-07,5.15214,243
2018-03-08,4.663069999999999,186
2018-03-09,3.7412,104
2018-03-10,5.37979,177
2018-03-11,4.4734,181
2018-03-12,2.329,74
2018-03-13,1.99568,65
2018-03-14,1.3657700000000002,55
2018-03-15,1.20565,33
2018-03-16,1.26024,18
2018-03-17,1.56007,46
2018-03-18,1.33566,34
2018-03-19,0.9234100000000001,12
2018-03-20,0.80578,12
2018-03-21,7.55346,72
2018-03-22,6.742889999999999,123
2018-03-23,5.133290000000001,60
2018-03-24,8.746739999999999,79
2018-03-25,5.64164,89
2018-03-26,3.00478,44
2018-03-27,2.4238299999999997,41
2018-03-28,1.9735900000000002,33
