period,ratio,1
2017-03-22,90.03761999999999,40.0
2017-03-23,77.09555999999999,14.0
2017-03-24,88.62302,10.0
2017-03-25,100.0,9.0
2017-03-26,81.56508000000001,14.0
2017-03-27,50.48908,14.0
2017-03-28,40.526709999999994,2.0
2017-03-29,25.20692,4.0
2017-03-30,19.71407,2.0
2017-03-31,21.2641,2.0
2017-04-01,21.88111,4.0
2017-04-02,16.779529999999998,2.0
2017-04-03,13.288179999999999,4.0
2017-04-04,11.39202,2.0
2017-04-05,9.932269999999999,1.0
2017-04-06,8.367189999999999,
2017-04-07,8.33709,2.0
2017-04-08,7.01279,1.0
2017-04-09,7.49435,
2017-04-10,6.78705,1.0
2017-04-11,6.681710000000001,1.0
2017-04-12,6.561319999999999,2.0
2017-04-13,6.95259,
2017-04-14,6.48607,
2017-04-15,6.03461,
2017-04-16,6.0948,
2017-04-17,6.8924,
2017-04-18,6.26034,
2017-04-19,20.692239999999998,
2017-04-20,14.988710000000001,
2017-04-21,14.97366,
2017-04-22,11.90368,
