period,ratio,1
2017-10-25,65.32417,1769
2017-10-26,67.18719,1306
2017-10-27,80.03063,738
2017-10-28,60.63451,1238
2017-10-29,90.68985,1417
2017-10-30,82.29393,690
2017-10-31,82.25439,436
2017-11-01,52.485659999999996,403
2017-11-02,92.57758000000001,416
2017-11-03,78.2368,353
2017-11-04,83.05,655
2017-11-05,99.75785,765
2017-11-06,68.41767,364
2017-11-07,61.6179,248
2017-11-08,100.0,206
2017-11-09,86.51907,217
2017-11-10,53.84956999999999,224
2017-11-11,69.59873,359
2017-11-12,52.83651999999999,415
2017-11-13,45.65625,200
2017-11-14,49.90116,172
2017-11-15,78.45423000000001,172
2017-11-16,42.68135,171
2017-11-17,44.356590000000004,148
2017-11-18,48.51749,227
2017-11-19,50.558409999999995,217
2017-11-20,45.59695,136
2017-11-21,34.10753,112
2017-11-22,33.30203,95
2017-11-23,23.81399,79
2017-11-24,25.49416,80
2017-11-25,32.7288,153
