period,ratio,1
2017-02-08,100.0,103.0
2017-02-09,70.38626,40.0
2017-02-10,60.801140000000004,13.0
2017-02-11,73.05674,24.0
2017-02-12,60.801140000000004,18.0
2017-02-13,50.9895,12.0
2017-02-14,50.92989,10.0
2017-02-15,78.51692,7.0
2017-02-16,53.719590000000004,10.0
2017-02-17,42.62041,11.0
2017-02-18,53.74344,8.0
2017-02-19,53.93419,7.0
2017-02-20,22.18645,6.0
2017-02-21,15.164520000000001,6.0
2017-02-22,17.54887,3.0
2017-02-23,14.6638,2.0
2017-02-24,14.80686,4.0
2017-02-25,14.19885,2.0
2017-02-26,13.43586,4.0
2017-02-27,10.95612,4.0
2017-02-28,9.668569999999999,2.0
2017-03-01,8.20219,2.0
2017-03-02,3.4573099999999997,1.0
2017-03-03,2.3605099999999997,
2017-03-04,4.2918400000000005,3.0
2017-03-05,3.9222599999999996,3.0
2017-03-06,2.15784,1.0
2017-03-07,2.59895,
2017-03-08,2.3366700000000002,
