period,ratio,1
2016-12-07,100.0,932
2016-12-08,73.33118,1063
2016-12-09,72.01642,715
2016-12-10,99.44501,1083
2016-12-11,95.53419,1514
2016-12-12,69.19719,875
2016-12-13,55.28253,669
2016-12-14,50.00311,501
2016-12-15,45.18318,433
2016-12-16,51.939820000000005,468
2016-12-17,65.84201,831
2016-12-18,71.53659,1036
2016-12-19,46.539629999999995,516
2016-12-20,37.34349,421
2016-12-21,31.17104,317
2016-12-22,26.67865,210
2016-12-23,30.23863,257
2016-12-24,41.461729999999996,450
2016-12-25,36.47605,553
2016-12-26,23.96379,290
2016-12-27,19.88887,208
2016-12-28,19.51866,222
2016-12-29,18.005329999999997,202
2016-12-30,19.03095,170
2016-12-31,19.817320000000002,253
2017-01-01,19.13401,311
2017-01-02,13.647829999999999,181
2017-01-03,10.94774,153
2017-01-04,9.0921,111
2017-01-05,8.31033,91
2017-01-06,9.25423,87
2017-01-07,10.53913,112
