period,ratio,1
2018-02-28,93.24598,196.0
2018-03-01,100.0,212.0
2018-03-02,69.33135,171.0
2018-03-03,77.65039,103.0
2018-03-04,68.65543000000001,106.0
2018-03-05,46.324020000000004,49.0
2018-03-06,38.803090000000005,47.0
2018-03-07,29.56117,30.0
2018-03-08,23.1945,18.0
2018-03-09,22.62517,11.0
2018-03-10,25.20927,16.0
2018-03-11,22.21182,18.0
2018-03-12,11.1787,15.0
2018-03-13,9.01055,9.0
2018-03-14,6.764410000000001,6.0
2018-03-15,5.799919999999999,6.0
2018-03-16,5.7089300000000005,5.0
2018-03-17,6.33026,4.0
2018-03-18,5.38917,5.0
2018-03-19,3.95674,3.0
2018-03-20,3.5875800000000004,1.0
2018-03-21,3.47579,
2018-03-22,3.0728400000000002,4.0
2018-03-23,3.04684,2.0
2018-03-24,3.22362,
2018-03-25,3.49919,1.0
2018-03-26,2.5503,2.0
2018-03-27,2.39432,1.0
2018-03-28,2.24094,
