period,ratio,1
2017-09-07,29.18696,13.0
2017-09-08,20.6819,2.0
2017-09-09,20.71937,8.0
2017-09-10,16.26077,2.0
2017-09-11,52.116890000000005,3.0
2017-09-12,66.20456999999999,4.0
2017-09-13,12.88872,2.0
2017-09-14,64.18134,
2017-09-15,77.5946,1.0
2017-09-16,16.822779999999998,1.0
2017-09-17,52.3417,1.0
2017-09-18,58.56125,
2017-09-19,48.81978,
2017-09-20,100.0,
2017-09-21,66.84151,
2017-09-22,33.75796,
2017-09-23,36.9052,
2017-09-24,47.208690000000004,
2017-09-25,24.50355,2.0
2017-09-26,33.83289,
2017-09-27,78.23154,
2017-09-28,44.061440000000005,
2017-09-29,32.52154,
2017-09-30,33.27088,1.0
2017-10-01,37.72948,1.0
2017-10-02,9.32933,
2017-10-03,2.47283,
2017-10-04,2.13563,
2017-10-05,3.29711,
2017-10-06,3.18471,
2017-10-07,3.10977,
