period,ratio,1
2017-04-12,100.0,134
2017-04-13,41.51423,134
2017-04-14,41.83267,94
2017-04-15,73.34671999999999,217
2017-04-16,55.19217,214
2017-04-17,36.75343,117
2017-04-18,29.01932,79
2017-04-19,25.111079999999998,57
2017-04-20,24.764870000000002,69
2017-04-21,30.001479999999997,70
2017-04-22,38.72699,119
2017-04-23,38.80753,162
2017-04-24,26.279290000000003,77
2017-04-25,22.77465,70
2017-04-26,27.310509999999997,45
2017-04-27,17.36309,28
2017-04-28,17.90091,45
2017-04-29,21.34724,60
2017-04-30,27.91405,59
2017-05-01,16.66882,82
2017-05-02,18.64424,123
2017-05-03,18.41004,104
2017-05-04,11.264669999999999,19
2017-05-05,10.00111,21
2017-05-06,8.7505,18
2017-05-07,7.95441,13
2017-05-08,20.97048,33
2017-05-09,48.29858,80
2017-05-10,27.33087,46
2017-05-11,20.44562,35
2017-05-12,20.07535,27
