period,ratio,1
2017-06-22,100.0,150.0
2017-06-23,94.7225,212.0
2017-06-24,97.71977,110.0
2017-06-25,69.56833,96.0
2017-06-26,43.83335,93.0
2017-06-27,40.31621,17.0
2017-06-28,29.18399,15.0
2017-06-29,26.297859999999996,11.0
2017-06-30,21.28567,9.0
2017-07-01,26.82848,12.0
2017-07-02,24.885270000000002,5.0
2017-07-03,12.68464,9.0
2017-07-04,11.734539999999999,4.0
2017-07-05,8.83048,6.0
2017-07-06,8.29987,1.0
2017-07-07,7.6115,2.0
2017-07-08,8.8018,4.0
2017-07-09,8.08475,1.0
2017-07-10,5.17352,3.0
2017-07-11,3.75734,2.0
2017-07-12,3.5243,1.0
2017-07-13,4.83651,1.0
2017-07-14,4.97992,3.0
2017-07-15,5.96945,1.0
2017-07-16,5.52846,2.0
2017-07-17,3.73225,
2017-07-18,3.1371,2.0
2017-07-19,3.14785,1.0
2017-07-20,2.9685900000000003,1.0
2017-07-21,3.22673,2.0
2017-07-22,4.52818,
