period,ratio,1
2017-08-09,56.85168,126
2017-08-10,53.557230000000004,27
2017-08-11,53.211119999999994,23
2017-08-12,60.84262,14
2017-08-13,58.96679,10
2017-08-14,100.0,22
2017-08-15,86.16843,21
2017-08-16,42.16553,14
2017-08-17,41.16138,16
2017-08-18,38.53779,24
2017-08-19,44.56266,17
2017-08-20,48.53651,24
2017-08-21,28.039140000000003,10
2017-08-22,24.56949,16
2017-08-23,28.761259999999996,17
2017-08-24,18.92919,15
2017-08-25,17.59176,8
2017-08-26,23.58244,21
2017-08-27,21.85189,16
2017-08-28,6.90937,10
2017-08-29,5.23864,9
2017-08-30,4.51651,7
2017-08-31,4.03794,5
2017-09-01,5.636019999999999,8
2017-09-02,8.8151,9
2017-09-03,7.661410000000001,4
2017-09-04,1.98265,4
2017-09-05,1.74763,2
2017-09-06,1.3844299999999998,7
2017-09-07,1.4528,3
2017-09-08,2.65777,6
2017-09-09,4.7387,6
