period,ratio,1
2017-01-11,65.05884,184
2017-01-12,68.35916,363
2017-01-13,78.91075,270
2017-01-14,100.0,300
2017-01-15,91.31884000000001,291
2017-01-16,63.79081,202
2017-01-17,52.39458,127
2017-01-18,45.14545,103
2017-01-19,29.36952,66
2017-01-20,26.49152,60
2017-01-21,28.895740000000004,74
2017-01-22,28.50129,71
2017-01-23,23.5417,60
2017-01-24,18.154429999999998,43
2017-01-25,18.4074,48
2017-01-26,15.202470000000002,24
2017-01-27,16.70203,40
2017-01-28,18.76755,49
2017-01-29,21.54586,51
2017-01-30,48.203520000000005,62
2017-01-31,37.50294,59
2017-02-01,24.13124,42
2017-02-02,18.45456,22
2017-02-03,16.06641,35
2017-02-04,19.1695,21
2017-02-05,18.349510000000002,29
2017-02-06,10.2536,21
2017-02-07,8.4239,16
2017-02-08,7.195530000000001,11
2017-02-09,10.48298,11
2017-02-10,14.54863,13
2017-02-11,57.665009999999995,17
