period,ratio,1
2017-03-29,100.0,355
2017-03-30,8.4525,205
2017-03-31,7.417999999999999,145
2017-04-01,17.48647,200
2017-04-02,8.94356,218
2017-04-03,4.7755,119
2017-04-04,4.3131699999999995,76
2017-04-05,4.76128,81
2017-04-06,3.68846,42
2017-04-07,3.3166800000000003,49
2017-04-08,3.9496599999999997,76
2017-04-09,3.4456900000000004,68
2017-04-10,1.93565,40
2017-04-11,1.5839,26
2017-04-12,2.24677,20
2017-04-13,1.4061299999999999,12
2017-04-14,1.20022,10
2017-04-15,1.32734,21
2017-04-16,1.03914,15
2017-04-17,0.60831,7
2017-04-18,0.49236,11
2017-04-19,0.54213,8
2017-04-20,2.97538,10
2017-04-21,7.66251,41
2017-04-22,10.67475,36
2017-04-23,7.686889999999999,50
2017-04-24,4.809159999999999,35
2017-04-25,3.7401199999999997,17
2017-04-26,3.7645,14
2017-04-27,3.00135,17
2017-04-28,2.7153400000000003,15
2017-04-29,3.2465900000000003,11
