period,ratio,1
2017-07-20,100.0,56.0
2017-07-21,91.35852,115.0
2017-07-22,87.32561,161.0
2017-07-23,80.76323000000001,133.0
2017-07-24,63.39901999999999,31.0
2017-07-25,52.58363000000001,22.0
2017-07-26,52.74278,13.0
2017-07-27,30.64811,10.0
2017-07-28,28.331970000000002,10.0
2017-07-29,22.00325,4.0
2017-07-30,18.97941,2.0
2017-07-31,12.61682,5.0
2017-08-01,8.31978,5.0
2017-08-02,6.54544,4.0
2017-08-03,6.900980000000001,4.0
2017-08-04,4.87945,2.0
2017-08-05,4.9810300000000005,3.0
2017-08-06,4.47311,
2017-08-07,2.92902,
2017-08-08,2.4211,3.0
2017-08-09,2.23825,2.0
2017-08-10,3.4572599999999998,2.0
2017-08-11,2.79019,2.0
2017-08-12,2.48882,1.0
2017-08-13,3.06108,
2017-08-14,2.2280900000000003,
2017-08-15,2.71569,
2017-08-16,1.54408,
2017-08-17,1.3646200000000002,
2017-08-18,1.4763600000000001,1.0
2017-08-19,1.7337099999999999,1.0
2017-08-20,1.76757,
