period,ratio,1
2017-05-03,100.0,618
2017-05-04,23.63974,603
2017-05-05,17.92464,732
2017-05-06,17.37647,650
2017-05-07,17.296120000000002,786
2017-05-08,12.0054,587
2017-05-09,11.9842,709
2017-05-10,6.27773,287
2017-05-11,5.73985,183
2017-05-12,6.5263,211
2017-05-13,11.29513,453
2017-05-14,9.70636,431
2017-05-15,12.04818,253
2017-05-16,4.32425,155
2017-05-17,3.44145,104
2017-05-18,3.33164,80
2017-05-19,3.24023,64
2017-05-20,5.11615,65
2017-05-21,3.76974,81
2017-05-22,2.39818,55
2017-05-23,1.8804900000000002,42
2017-05-24,1.48809,40
2017-05-25,1.33346,34
2017-05-26,1.40024,23
2017-05-27,1.77245,27
2017-05-28,1.51462,26
2017-05-29,0.96925,22
2017-05-30,0.7841600000000001,17
2017-05-31,1.07627,25
2017-06-01,1.3159399999999999,16
2017-06-02,1.36317,19
2017-06-03,1.23038,36
