period,ratio,1
2017-05-31,100.0,12
2017-06-01,99.6754,17
2017-06-02,96.45443,17
2017-06-03,97.42820999999999,15
2017-06-04,91.48564,14
2017-06-05,94.2322,16
2017-06-06,95.58051999999999,27
2017-06-07,76.46691,17
2017-06-08,54.943819999999995,17
2017-06-09,51.26092,17
2017-06-10,51.08614,15
2017-06-11,48.389509999999994,12
2017-06-12,42.57178,19
2017-06-13,34.506859999999996,12
2017-06-14,34.84394,12
2017-06-15,33.196,5
2017-06-16,32.54681,7
2017-06-17,34.307109999999994,9
2017-06-18,31.598000000000003,6
2017-06-19,29.188509999999997,12
2017-06-20,27.15355,8
2017-06-21,29.53807,9
2017-06-22,25.63046,9
2017-06-23,27.965040000000002,7
2017-06-24,24.51935,6
2017-06-25,26.14232,14
2017-06-26,25.43071,8
2017-06-27,26.416970000000003,13
2017-06-28,31.39825,10
2017-06-29,29.35081,8
2017-06-30,28.03995,12
