period,ratio,1
2017-02-28,99.49391999999999,47
2017-03-01,100.0,72
2017-03-02,68.57989,39
2017-03-03,66.85181,26
2017-03-04,81.87371999999999,55
2017-03-05,76.61544,46
2017-03-06,51.70647,36
2017-03-07,46.69505,31
2017-03-08,35.67857,12
2017-03-09,27.865209999999998,21
2017-03-10,30.883159999999997,9
2017-03-11,34.7343,14
2017-03-12,35.85138,14
2017-03-13,26.20502,11
2017-03-14,49.052640000000004,19
2017-03-15,61.02573,11
2017-03-16,40.82577,7
2017-03-17,51.1757,7
2017-03-18,46.28772,15
2017-03-19,42.74517,21
2017-03-20,25.80386,13
2017-03-21,18.55829,5
2017-03-22,16.206870000000002,10
2017-03-23,14.18255,4
2017-03-24,17.05239,6
2017-03-25,22.48966,11
2017-03-26,22.21193,4
2017-03-27,13.38023,6
2017-03-28,11.20162,7
