period,ratio,1
2017-12-07,54.439809999999994,77
2017-12-08,67.95748,45
2017-12-09,100.0,303
2017-12-10,88.54615,389
2017-12-11,45.13899,129
2017-12-12,36.07601,88
2017-12-13,38.52633,60
2017-12-14,44.19255,54
2017-12-15,42.98102,66
2017-12-16,65.75244,194
2017-12-17,57.422819999999994,207
2017-12-18,29.81765,66
2017-12-19,26.67608,57
2017-12-20,29.60705,64
2017-12-21,29.1933,64
2017-12-22,34.334270000000004,57
2017-12-23,50.24528,150
2017-12-24,59.1596,195
2017-12-25,50.80025,204
2017-12-26,37.52539,128
2017-12-27,32.44388,82
2017-12-28,30.105040000000002,98
2017-12-29,27.956979999999998,61
2017-12-30,31.31658,98
2017-12-31,27.85045,79
2018-01-01,26.83216,61
2018-01-02,20.940479999999997,76
2018-01-03,19.84044,46
2018-01-04,14.70938,54
2018-01-05,13.80754,50
2018-01-06,18.016939999999998,55
2018-01-07,15.963029999999998,55
