period,ratio,1
2017-11-09,100.0,209
2017-11-10,31.62844,143
2017-11-11,35.30973,77
2017-11-12,38.495020000000004,87
2017-11-13,36.6521,74
2017-11-14,29.81434,49
2017-11-15,28.427979999999998,31
2017-11-16,32.06073,22
2017-11-17,29.870459999999998,23
2017-11-18,29.78248,26
2017-11-19,24.20974,20
2017-11-20,20.161379999999998,20
2017-11-21,15.2712,13
2017-11-22,14.198820000000001,10
2017-11-23,11.72187,11
2017-11-24,11.03476,10
2017-11-25,12.496960000000001,13
2017-11-26,10.45989,14
2017-11-27,7.9859800000000005,9
2017-11-28,6.46462,5
2017-11-29,5.98076,9
2017-11-30,8.60484,11
2017-12-01,42.98932,25
2017-12-02,40.15289,36
2017-12-03,29.99635,34
2017-12-04,23.862389999999998,26
2017-12-05,17.35833,16
2017-12-06,14.32775,11
2017-12-07,13.33879,13
2017-12-08,12.964139999999999,8
2017-12-09,14.213989999999999,14
