period,ratio,1
2017-11-09,52.03774,77
2017-11-10,91.46996999999999,108
2017-11-11,62.2856,123
2017-11-12,59.083819999999996,146
2017-11-13,68.00095999999999,97
2017-11-14,63.395880000000005,59
2017-11-15,68.74294,72
2017-11-16,54.53519,68
2017-11-17,58.77466,84
2017-11-18,64.64594,129
2017-11-19,65.88257,165
2017-11-20,61.37964,114
2017-11-21,72.641,73
2017-11-22,61.37426,69
2017-11-23,63.23995,101
2017-11-24,73.50664,83
2017-11-25,79.3591,133
2017-11-26,75.86429,155
2017-11-27,76.52293,95
2017-11-28,68.08161,106
2017-11-29,100.0,131
2017-11-30,64.92822,94
2017-12-01,53.02704,83
2017-12-02,59.65374,128
2017-12-03,55.373940000000005,134
2017-12-04,45.43255,75
2017-12-05,41.75493,71
2017-12-06,38.67949,67
2017-12-07,37.02618,59
2017-12-08,36.7681,52
2017-12-09,41.49954,85
