period,ratio,1
2017-01-25,89.31394,175
2017-01-26,89.61324,75
2017-01-27,85.29205,53
2017-01-28,88.97721999999999,49
2017-01-29,100.0,57
2017-01-30,90.84786,59
2017-01-31,70.19595,36
2017-02-01,41.93985,15
2017-02-02,34.96235,22
2017-02-03,41.0513,14
2017-02-04,72.3238,14
2017-02-05,69.83585,11
2017-02-06,28.74713,10
2017-02-07,22.74704,5
2017-02-08,19.62306,9
2017-02-09,15.806939999999999,3
2017-02-10,16.16704,3
2017-02-11,22.270020000000002,6
2017-02-12,23.55609,3
2017-02-13,12.21531,4
2017-02-14,10.05471,5
2017-02-15,8.84815,5
2017-02-16,7.76785,2
2017-02-17,15.3954,1
2017-02-18,24.69718,6
2017-02-19,24.40723,5
2017-02-20,13.78665,3
2017-02-21,11.757,3
2017-02-22,13.02904,3
2017-02-23,10.94794,2
2017-02-24,13.2769,1
2017-02-25,16.55988,1
