period,ratio,1
2018-01-17,50.70686,1181
2018-01-18,100.0,1177
2018-01-19,78.42343000000001,764
2018-01-20,84.90956,1332
2018-01-21,87.38117,979
2018-01-22,82.63783000000001,626
2018-01-23,58.79198,368
2018-01-24,53.21747,345
2018-01-25,49.55881,219
2018-01-26,46.209720000000004,125
2018-01-27,60.378780000000006,202
2018-01-28,57.99005,255
2018-01-29,34.9315,184
2018-01-30,27.380190000000002,109
2018-01-31,42.57543,108
2018-02-01,23.47779,96
2018-02-02,27.004820000000002,82
2018-02-03,35.72124,89
2018-02-04,33.8322,83
2018-02-05,18.1519,64
2018-02-06,19.20001,47
2018-02-07,28.83537,39
2018-02-08,18.01784,41
2018-02-09,13.028319999999999,24
2018-02-10,15.27324,35
2018-02-11,11.65602,38
2018-02-12,8.41661,25
2018-02-13,9.47935,39
2018-02-14,7.06381,31
2018-02-15,6.52513,16
2018-02-16,6.77619,13
2018-02-17,7.63174,24
