period,ratio,1
2017-04-20,42.94249,45.0
2017-04-21,45.791920000000005,24.0
2017-04-22,44.384440000000005,22.0
2017-04-23,100.0,27.0
2017-04-24,32.70523,24.0
2017-04-25,26.00677,15.0
2017-04-26,15.746529999999998,8.0
2017-04-27,14.93651,9.0
2017-04-28,14.959489999999999,3.0
2017-04-29,18.29723,6.0
2017-04-30,29.3043,6.0
2017-05-01,22.99075,6.0
2017-05-02,20.68133,7.0
2017-05-03,15.28695,12.0
2017-05-04,11.59878,2.0
2017-05-05,10.76578,8.0
2017-05-06,10.40386,5.0
2017-05-07,9.92704,1.0
2017-05-08,7.376339999999999,
2017-05-09,6.6927,
2017-05-10,5.16458,1.0
2017-05-11,7.28442,1.0
2017-05-12,8.32998,3.0
2017-05-13,12.48922,3.0
2017-05-14,12.98902,2.0
2017-05-15,9.81214,4.0
2017-05-16,7.63485,3.0
2017-05-17,7.6923,1.0
2017-05-18,5.84247,2.0
2017-05-19,5.8884300000000005,3.0
2017-05-20,7.020160000000001,
