period,ratio,1
2017-07-19,100.0,15.0
2017-07-20,98.88235,13.0
2017-07-21,90.76982,5.0
2017-07-22,95.7703,8.0
2017-07-23,92.08979000000001,6.0
2017-07-24,73.77396,12.0
2017-07-25,58.618359999999996,4.0
2017-07-26,42.33548,4.0
2017-07-27,35.041909999999994,4.0
2017-07-28,34.17477,1.0
2017-07-29,32.39233,3.0
2017-07-30,28.54802,3.0
2017-07-31,30.397909999999996,1.0
2017-08-01,26.34165,3.0
2017-08-02,19.08661,1.0
2017-08-03,19.56835,1.0
2017-08-04,17.54504,1.0
2017-08-05,18.12313,2.0
2017-08-06,18.258020000000002,2.0
2017-08-07,13.76818,3.0
2017-08-08,12.48675,2.0
2017-08-09,10.18402,
2017-08-10,10.53087,3.0
2017-08-11,10.858460000000001,1.0
2017-08-12,10.492339999999999,2.0
2017-08-13,12.26515,
2017-08-14,11.571439999999999,2.0
2017-08-15,14.664220000000002,1.0
2017-08-16,11.15714,2.0
2017-08-17,41.63214,1.0
2017-08-18,25.92735,2.0
2017-08-19,14.124670000000002,2.0
