period,ratio,1
2017-02-22,4.66557,183
2017-02-23,24.57323,154
2017-02-24,24.81015,83
2017-02-25,23.218510000000002,117
2017-02-26,22.79934,107
2017-02-27,100.0,63
2017-02-28,77.51655,63
2017-03-01,39.730270000000004,58
2017-03-02,27.027509999999996,34
2017-03-03,24.11761,27
2017-03-04,22.32549,21
2017-03-05,19.30623,21
2017-03-06,4.14312,12
2017-03-07,1.00844,10
2017-03-08,1.16639,8
2017-03-09,1.18461,5
2017-03-10,1.47621,4
2017-03-11,1.42761,7
2017-03-12,1.40939,5
2017-03-13,1.12386,9
2017-03-14,0.79582,3
2017-03-15,0.78367,4
2017-03-16,0.61964,2
2017-03-17,0.96591,4
2017-03-18,0.81404,2
2017-03-19,0.9476899999999999,1
2017-03-20,0.63179,1
2017-03-21,0.58927,4
2017-03-22,0.55282,1
