period,ratio,1
2017-06-01,20.229,16.0
2017-06-02,30.650509999999997,4.0
2017-06-03,53.46,3.0
2017-06-04,45.02987,1.0
2017-06-05,81.61301,27.0
2017-06-06,100.0,8.0
2017-06-07,43.40358,3.0
2017-06-08,32.45104,1.0
2017-06-09,38.615990000000004,
2017-06-10,53.02854,1.0
2017-06-11,48.94623,4.0
2017-06-12,29.173579999999998,3.0
2017-06-13,22.63524,1.0
2017-06-14,24.19515,
2017-06-15,36.417190000000005,
2017-06-16,24.31131,
2017-06-17,36.30932,1.0
2017-06-18,36.98141,2.0
2017-06-19,10.92764,1.0
2017-06-20,7.24361,1.0
2017-06-21,7.48423,
2017-06-22,7.40955,1.0
2017-06-23,8.73713,
2017-06-24,15.40823,
2017-06-25,13.408560000000001,1.0
2017-06-26,8.762030000000001,1.0
2017-06-27,5.80816,
2017-06-28,5.7666699999999995,
2017-06-29,4.46398,
2017-06-30,5.53435,
2017-07-01,10.52937,
