period,ratio,1
2017-04-06,80.33293,138
2017-04-07,88.03130999999999,80
2017-04-08,100.0,59
2017-04-09,84.71509,187
2017-04-10,60.554019999999994,47
2017-04-11,53.316219999999994,14
2017-04-12,38.22871,22
2017-04-13,27.635209999999997,16
2017-04-14,29.747329999999998,12
2017-04-15,41.11067,9
2017-04-16,27.4444,8
2017-04-17,16.19292,14
2017-04-18,13.192520000000002,7
2017-04-19,15.27832,3
2017-04-20,16.7193,8
2017-04-21,19.12751,3
2017-04-22,25.365170000000003,5
2017-04-23,22.78589,9
2017-04-24,12.310830000000001,5
2017-04-25,8.93538,5
2017-04-26,9.88945,4
2017-04-27,7.95499,2
2017-04-28,9.17225,2
2017-04-29,13.0346,3
2017-04-30,14.55454,3
2017-05-01,11.23832,1
2017-05-02,8.863,1
2017-05-03,10.98828,4
2017-05-04,8.73799,3
2017-05-05,10.442160000000001,2
2017-05-06,11.79102,1
