period,ratio,1
2017-02-23,19.33445,325
2017-02-24,43.87978,207
2017-02-25,65.32954000000001,184
2017-02-26,19.60531,174
2017-02-27,100.0,131
2017-02-28,44.96324,99
2017-03-01,44.33122,114
2017-03-02,25.44821,54
2017-03-03,18.715329999999998,48
2017-03-04,26.441370000000003,79
2017-03-05,28.505090000000003,75
2017-03-06,5.12059,27
2017-03-07,1.79285,29
2017-03-08,1.62517,23
2017-03-09,1.36721,30
2017-03-10,1.59938,21
2017-03-11,2.57964,35
2017-03-12,2.36037,41
2017-03-13,1.62517,10
2017-03-14,1.2640200000000001,14
2017-03-15,1.34141,12
2017-03-16,1.49619,17
2017-03-17,4.759440000000001,19
2017-03-18,1.7412599999999998,26
2017-03-19,1.75415,20
2017-03-20,1.03185,7
2017-03-21,1.4317,9
2017-03-22,0.94157,17
2017-03-23,1.10924,13
