period,ratio,1
2017-10-03,52.955380000000005,62
2017-10-04,57.577909999999996,54
2017-10-05,84.68314000000001,73
2017-10-06,100.0,47
2017-10-07,77.19996,38
2017-10-08,74.6282,89
2017-10-09,62.53196,79
2017-10-10,23.31154,33
2017-10-11,20.12408,11
2017-10-12,21.67755,18
2017-10-13,25.75068,22
2017-10-14,36.108740000000004,28
2017-10-15,33.6696,34
2017-10-16,10.97376,10
2017-10-17,16.15042,13
2017-10-18,15.40683,9
2017-10-19,28.563979999999997,1
2017-10-20,16.59562,10
2017-10-21,22.10855,27
2017-10-22,22.350089999999998,17
2017-10-23,10.24912,7
2017-10-24,15.22686,5
2017-10-25,16.08885,14
2017-10-26,9.79918,7
2017-10-27,10.6517,5
2017-10-28,14.34119,14
2017-10-29,14.1328,7
2017-10-30,4.16785,7
2017-10-31,3.56635,2
2017-11-01,3.85526,5
2017-11-02,4.48043,4
2017-11-03,7.15638,6
