period,ratio,1
2018-02-21,24.31718,134
2018-02-22,100.0,133
2018-02-23,75.49715,96
2018-02-24,70.74016,106
2018-02-25,58.412409999999994,106
2018-02-26,53.91121,117
2018-02-27,58.13185,38
2018-02-28,92.76342,67
2018-03-01,52.97466,67
2018-03-02,26.3553,45
2018-03-03,37.79602,23
2018-03-04,31.82193,56
2018-03-05,28.3893,31
2018-03-06,29.561009999999996,25
2018-03-07,14.035810000000001,12
2018-03-08,10.47528,21
2018-03-09,6.25464,14
2018-03-10,8.01633,17
2018-03-11,9.25818,20
2018-03-12,1.40275,17
2018-03-13,0.57347,15
2018-03-14,0.60648,4
2018-03-15,0.61061,10
2018-03-16,0.56935,5
2018-03-17,0.60648,8
2018-03-18,0.57347,3
2018-03-19,0.24754,3
2018-03-20,0.23515999999999998,6
2018-03-21,0.49096000000000006,11
