period,ratio,1
2017-10-04,5.31123,20.0
2017-10-05,5.3533599999999995,27.0
2017-10-06,5.27589,26.0
2017-10-07,6.46114,18.0
2017-10-08,20.654329999999998,36.0
2017-10-09,8.44224,29.0
2017-10-10,5.28948,15.0
2017-10-11,8.33758,10.0
2017-10-12,3.17042,20.0
2017-10-13,3.03994,7.0
2017-10-14,3.7222699999999995,9.0
2017-10-15,3.4422699999999997,10.0
2017-10-16,2.24954,15.0
2017-10-17,1.9831299999999998,12.0
2017-10-18,1.8981700000000001,15.0
2017-10-19,1.68681,11.0
2017-10-20,1.784,7.0
2017-10-21,3.78684,12.0
2017-10-22,3.43819,11.0
2017-10-23,2.07488,7.0
2017-10-24,1.82002,4.0
2017-10-25,1.45846,2.0
2017-10-26,1.30283,2.0
2017-10-27,1.29875,3.0
2017-10-28,1.58555,2.0
2017-10-29,1.7004,1.0
2017-10-30,0.9446700000000001,2.0
2017-10-31,0.8624299999999999,4.0
2017-11-01,1.1669,
2017-11-02,1.04185,2.0
2017-11-03,1.19069,2.0
2017-11-04,100.0,9.0
