period,ratio,1
2017-04-06,35.9566,7.0
2017-04-07,33.86925,17.0
2017-04-08,100.0,8.0
2017-04-09,29.44691,5.0
2017-04-10,16.40394,6.0
2017-04-11,12.4769,3.0
2017-04-12,8.80537,2.0
2017-04-13,7.893389999999999,1.0
2017-04-14,8.467310000000001,
2017-04-15,8.8093,1.0
2017-04-16,6.914569999999999,
2017-04-17,4.88226,
2017-04-18,4.453790000000001,
2017-04-19,4.66213,
2017-04-20,4.331930000000001,
2017-04-21,5.11026,
2017-04-22,22.882179999999998,5.0
2017-04-23,21.02283,5.0
2017-04-24,14.70576,4.0
2017-04-25,10.46031,3.0
2017-04-26,8.08207,2.0
2017-04-27,7.50422,3.0
2017-04-28,16.19953,4.0
2017-04-29,14.99665,
2017-04-30,11.7025,3.0
2017-05-01,8.34545,3.0
2017-05-02,6.0419,1.0
2017-05-03,6.4074800000000005,
2017-05-04,5.66453,5.0
2017-05-05,5.65666,1.0
2017-05-06,5.60163,2.0
