period,ratio,1
2017-09-28,47.16218,16.0
2017-09-29,58.99267,11.0
2017-09-30,97.22796,12.0
2017-10-01,100.0,35.0
2017-10-02,92.38864000000001,33.0
2017-10-03,67.91956,18.0
2017-10-04,65.54219,24.0
2017-10-05,74.30934,21.0
2017-10-06,73.59518,15.0
2017-10-07,62.6292,16.0
2017-10-08,57.85566,28.0
2017-10-09,51.22157,22.0
2017-10-10,20.30633,13.0
2017-10-11,16.3691,8.0
2017-10-12,17.06446,9.0
2017-10-13,18.64311,13.0
2017-10-14,26.92163,10.0
2017-10-15,26.188679999999998,7.0
2017-10-16,11.210289999999999,3.0
2017-10-17,8.438260000000001,4.0
2017-10-18,9.31215,3.0
2017-10-19,8.6168,9.0
2017-10-20,8.701369999999999,3.0
2017-10-21,14.010520000000001,
2017-10-22,13.23059,5.0
2017-10-23,7.846260000000001,
2017-10-24,7.37643,2.0
2017-10-25,7.00996,4.0
2017-10-26,7.7429,2.0
2017-10-27,8.51343,
2017-10-28,14.28302,9.0
