period,ratio,1
2017-03-23,100.0,247
2017-03-24,55.78326,284
2017-03-25,87.94599000000001,271
2017-03-26,52.28277,255
2017-03-27,24.66011,176
2017-03-28,18.20133,94
2017-03-29,12.75145,86
2017-03-30,37.20489,52
2017-03-31,11.6175,38
2017-04-01,13.0931,44
2017-04-02,9.95974,55
2017-04-03,5.59238,30
2017-04-04,4.81801,19
2017-04-05,3.59392,20
2017-04-06,2.9177,10
2017-04-07,4.5263800000000005,3
2017-04-08,56.7412,78
2017-04-09,57.372119999999995,138
2017-04-10,34.1475,86
2017-04-11,24.86444,88
2017-04-12,19.76093,38
2017-04-13,17.89649,44
2017-04-14,17.260379999999998,26
2017-04-15,19.39805,32
2017-04-16,19.30084,41
2017-04-17,11.66516,38
2017-04-18,8.98953,19
2017-04-19,7.477589999999999,16
2017-04-20,6.7018,12
2017-04-21,7.775360000000001,9
2017-04-22,11.46744,13
2017-04-23,10.87757,20
