period,ratio,1
2017-06-29,100.0,1896
2017-06-30,22.8912,1578
2017-07-01,12.34613,1652
2017-07-02,12.71865,1654
2017-07-03,5.9508,1001
2017-07-04,4.3269400000000005,779
2017-07-05,3.5572699999999995,623
2017-07-06,3.16717,526
2017-07-07,3.6983900000000003,480
2017-07-08,4.60489,709
2017-07-09,3.90321,801
2017-07-10,2.64792,392
2017-07-11,2.03117,360
2017-07-12,1.90773,305
2017-07-13,1.8599700000000001,267
2017-07-14,2.01263,242
2017-07-15,2.4264200000000002,399
2017-07-16,2.28297,460
2017-07-17,1.60325,248
2017-07-18,1.3789799999999999,189
2017-07-19,1.3100399999999999,208
2017-07-20,1.1672,181
2017-07-21,1.09748,140
2017-07-22,1.17947,124
2017-07-23,1.26042,130
2017-07-24,0.82221,106
2017-07-25,0.68235,97
2017-07-26,0.74939,148
2017-07-27,1.0665799999999999,133
2017-07-28,0.9705,148
2017-07-29,0.90222,148
