period,ratio,1
2018-01-17,100.0,537
2018-01-18,29.93132,481
2018-01-19,33.10671,413
2018-01-20,43.860279999999996,705
2018-01-21,41.232890000000005,946
2018-01-22,31.12998,476
2018-01-23,25.55596,350
2018-01-24,25.898429999999998,331
2018-01-25,25.795560000000002,306
2018-01-26,28.31587,298
2018-01-27,50.09004,543
2018-01-28,49.454209999999996,807
2018-01-29,30.725109999999997,470
2018-01-30,23.56683,281
2018-01-31,26.25838,450
2018-02-01,19.366020000000002,298
2018-02-02,21.22351,220
2018-02-03,31.4397,431
2018-02-04,29.27647,519
2018-02-05,17.37203,273
2018-02-06,15.337110000000001,186
2018-02-07,20.77861,170
2018-02-08,13.16945,147
2018-02-09,13.18251,117
2018-02-10,16.11829,182
2018-02-11,14.34731,250
2018-02-12,9.5516,143
2018-02-13,8.51489,87
2018-02-14,9.07373,81
2018-02-15,9.80734,46
2018-02-16,11.74005,66
2018-02-17,12.26018,60
